{'loss_vfl': tensor(0.8169, device='cuda:0'), 'loss_bbox': tensor(7572.7339, device='cuda:0'), 'loss_giou': tensor(2.2323, device='cuda:0')}
{'loss_vfl': tensor(0.6055, device='cuda:0'), 'loss_bbox': tensor(6504.0146, device='cuda:0'), 'loss_giou': tensor(2.1781, device='cuda:0')}
{'loss_vfl': tensor(0.5922, device='cuda:0'), 'loss_bbox': tensor(6895.1074, device='cuda:0'), 'loss_giou': tensor(2.2924, device='cuda:0')}
{'loss_vfl': tensor(0.4868, device='cuda:0'), 'loss_bbox': tensor(6813.0718, device='cuda:0'), 'loss_giou': tensor(2.2799, device='cuda:0')}
{'loss_vfl': tensor(0.4225, device='cuda:0'), 'loss_bbox': tensor(6892.4873, device='cuda:0'), 'loss_giou': tensor(2.3304, device='cuda:0')}
{'loss_vfl': tensor(0.3888, device='cuda:0'), 'loss_bbox': tensor(7491.7866, device='cuda:0'), 'loss_giou': tensor(2.2537, device='cuda:0')}
{'loss_vfl': tensor(0.3952, device='cuda:0'), 'loss_bbox': tensor(7143.8701, device='cuda:0'), 'loss_giou': tensor(2.2255, device='cuda:0')}
{'loss_vfl': tensor(0.4930, device='cuda:0'), 'loss_bbox': tensor(6018.0049, device='cuda:0'), 'loss_giou': tensor(2.2382, device='cuda:0')}
{'loss_vfl': tensor(0.5869, device='cuda:0'), 'loss_bbox': tensor(6793.2222, device='cuda:0'), 'loss_giou': tensor(2.2191, device='cuda:0')}
{'loss_vfl': tensor(0.5381, device='cuda:0'), 'loss_bbox': tensor(6502.4180, device='cuda:0'), 'loss_giou': tensor(2.2752, device='cuda:0')}
{'loss_vfl': tensor(0.5080, device='cuda:0'), 'loss_bbox': tensor(6955.4956, device='cuda:0'), 'loss_giou': tensor(2.3129, device='cuda:0')}
{'loss_vfl': tensor(0.6460, device='cuda:0'), 'loss_bbox': tensor(6950.0645, device='cuda:0'), 'loss_giou': tensor(2.2525, device='cuda:0')}
{'loss_vfl': tensor(0.3683, device='cuda:0'), 'loss_bbox': tensor(6268.7964, device='cuda:0'), 'loss_giou': tensor(2.2126, device='cuda:0')}
{'loss_vfl': tensor(0.3810, device='cuda:0'), 'loss_bbox': tensor(5945.3179, device='cuda:0'), 'loss_giou': tensor(2.2914, device='cuda:0')}
